layer,position,p10,p50,p90,mean,std
3,20,1.7153173446655274,6.637369155883789,13.683410453796386,7.212444267868996,4.561160751576129
3,21,1.6555687904357914,6.294534683227539,12.842639923095703,6.802014296849569,4.235367966904207
3,22,1.5206114768981935,5.892108917236328,12.081482315063477,6.377668522728814,4.0619651431535555
3,23,1.420610237121582,5.415853500366211,11.378702545166016,6.004367651608256,3.8578641765838553
3,24,1.2762826919555663,4.96546745300293,10.637280654907226,5.558739800916777,3.642541770710892
3,25,1.1910879135131838,4.746768474578857,10.205294227600097,5.298640056120025,3.542080746600137
3,26,1.2762174606323244,4.536424875259399,10.063364791870116,5.17620285835531,3.443173127759281
3,27,1.0447116851806644,4.426389217376709,9.981438827514648,5.049086803661452,3.498393053643348
3,28,1.1652464866638184,4.135073661804199,9.06873950958252,4.742855363355742,3.168034018610022
3,29,1.0196063041687013,3.9803380966186523,8.913863563537598,4.555254554417398,3.1088436138958473
3,30,1.0486380100250245,3.756896495819092,8.225861549377441,4.263804398510191,2.8534755820558386
3,31,0.8107848167419434,3.3403100967407227,7.661210823059082,3.84957412885295,2.67576117580607
3,32,0.4217106819152833,3.2152957916259766,7.739203262329101,3.7343682072559994,2.817885345646553
3,33,0.43520355224609375,2.9624710083007812,7.020430183410644,3.462304841346211,2.6596524680981277
3,34,0.3104705810546877,2.9400999546051025,7.17150650024414,3.4353196265962387,2.6730225481156
3,35,0.3379798889160157,2.9161338806152344,6.8873554229736325,3.349695542653402,2.5698861803654873
3,36,0.05023183822631841,2.703765869140625,6.534813404083252,3.1296218968100016,2.48780468236224
3,37,0.015554428100586012,2.6741461753845215,6.74850902557373,3.149257864024904,2.5864339509064997
3,38,0.0,2.504896640777588,6.310405540466308,2.9669634015692603,2.5217754301954884
3,39,0.0,2.692234992980957,6.730583190917969,3.137631183796459,2.6274264773576586
4,0,25.21398196220398,50.50236797332764,91.1919228553772,53.716868674490186,24.996102619991913
4,1,5.852804374694825,16.47683620452881,29.491286849975584,16.982569501929813,8.781025918746941
4,2,5.182130241394043,14.375989437103271,24.932131958007812,14.619236663911078,7.358156007616947
4,3,4.7997081756591795,13.247465133666992,23.688901138305663,13.757843029697737,7.205102670820597
4,4,4.326180839538575,12.143505096435547,22.18310127258301,12.718164466884401,6.74990894130924
4,5,3.8558473587036133,11.453906059265137,21.07880592346191,12.065113384326299,6.596758423879825
4,6,4.057675981521607,11.177802085876465,20.039379119873047,11.68457959956593,6.184825548586084
4,7,3.676776647567749,10.867412567138672,20.12929039001465,11.458941380580267,6.30832885072606
